,IATA,Latitude,Longitude
361,\N,50.405555725,6.528889179199999
362,\N,51.099998474121094,7.5999999046325675
363,ZCA,51.48389053344727,7.8983330726623535
364,ESS,51.40230178833008,6.9373297691345215
365,\N,51.964721679700006,8.544444084170001
366,MGL,51.23027801513672,6.504444122314452
367,PAD,51.614101409899995,8.616319656369999
368,\N,51.99583435058594,6.840556144714356
369,DTM,51.518299102799986,7.61223983765
370,AGB,48.425278000000006,10.931667
371,\N,48.11111068725586,9.762778282165527
372,\N,48.39611053466797,12.723610877990724
373,\N,48.1069450378418,10.524999618530273
374,OBF,48.08140182495117,11.283100128173828
375,RBM,48.90083312988281,12.516667366027832
376,\N,48.6349983215332,13.195555686950685
377,\N,47.85889053344727,10.014166831970217
378,FDH,47.671298980699994,9.511489868160002
379,SZW,53.426998,11.7834
380,ZSN,52.62888717651367,11.818611145019533
381,\N,48.77777862548828,10.264721870422363
382,BYU,49.98500061035156,11.640000343322756
383,\N,49.794166564940994,11.133610725402999
384,HOQ,50.288612365722656,11.856389045715332
385,\N,50.0180549621582,10.529443740844727
386,ZNV,50.32555770874024,7.528611183166504
387,ZQF,49.86388778686523,6.7874999046325675
388,ZQC,49.30472183227539,8.451389312744139
389,ZQW,49.20940017700195,7.400559902191162
390,ZQL,47.97333145139999,8.52222156525
391,\N,48.022777557400005,7.832499980930001
392,\N,48.05389022827149,9.372777938842773
393,\N,49.1183319092,9.783888816829998
394,\N,51.607498,13.743610999999998
395,BWE,52.319199,10.5561
396,KSF,51.417273,9.384967
397,\N,52.18138885498047,9.946389198303224
398,BRV,53.50694300000001,8.572778
399,EME,53.39110946655274,7.227499961853027
400,\N,53.27194213867188,7.441667079925537
401,WVN,53.502220153808594,8.05222225189209
402,BMK,53.596389770500004,6.70916700363
403,NRD,53.70694351196289,7.230000019073486
404,FLF,54.77333450317383,9.378889083862305
405,\N,54.22000122070313,9.599444389343262
406,GWT,54.9132003784,8.34047031403
407,\N,59.26029968261719,24.208499908447266
408,KDL,58.99079895019531,22.830699920654297
409,URE,58.22990036010742,22.50950050354004
410,EPU,58.41899871826172,24.47279930114746
411,TLL,59.41329956049999,24.8327999115
412,TAY,58.30749893189999,26.6903991699
413,ENF,68.36260223388699,23.424299240112
414,\N,61.1161003112793,22.201400756835934
415,KEV,61.856039,24.786686
416,HEM,60.254600524902344,25.04280090332031
417,HEL,60.317199707031,24.963300704956
418,\N,61.68970108032226,23.073699951171875
419,\N,59.848899841308594,23.083599090576172
420,HYV,60.6543998718,24.881099700900002
421,\N,60.4625015259,23.652500152600002
422,\N,61.24919891357422,28.90369987487793
423,\N,62.1661,30.073601
424,IVL,68.607299804688,27.405300140380998
425,JOE,62.662899017334006,29.607500076294
426,JYV,62.399501800537,25.678300857544
427,KAU,63.127102,23.051399
428,KEM,65.778701782227,24.582099914551
429,KAJ,64.285499572754,27.692399978638
430,\N,62.4625015259,22.3931007385
431,KOK,63.721199035645,23.143100738525
432,\N,66.712898,27.156799
433,KAO,65.98760223388699,29.239400863647
434,KTT,67.700996398926,24.846799850464002
435,KUO,63.007099151611,27.797800064087
436,\N,61.144199,25.693501
437,LPP,61.044601,28.144743
438,MHQ,60.122200012207,19.898199081421
439,\N,62.94670104980469,23.51889991760254
440,MIK,61.6866,27.201798999999998
441,\N,60.3339004517,24.2964000702
442,OUL,64.930099487305,25.354600906372
443,\N,61.24560165405274,22.19339942932129
444,POR,61.461700439453004,21.799999237061
445,\N,65.4021987915,26.9468994141
446,\N,63.7318992615,25.9263000488
447,\N,64.6881027222,24.6958007812
448,\N,62.0654983521,28.3565006256
449,RVN,66.564796447754,25.830400466919
450,\N,60.74470138549805,24.107799530029297
451,SVL,61.943099975586,28.945100784302
452,\N,61.062400817871094,26.79890060424805
453,SOT,67.3949966431,26.619100570700002
454,TMP,61.414100646973,23.604400634766
455,\N,61.7733,24.026999999999997
456,TKU,60.514099121094,22.262800216675
457,QVY,60.89640045165999,26.938400268555004
458,VAA,63.050701141357,21.762199401855
459,VRK,62.171100616455,27.868600845337
460,\N,64.0547222,24.7252778
461,BFS,54.6575012207,-6.21582984924
462,ENK,54.39889907836914,-7.651669979095459
463,BHD,54.61809921264648,-5.872499942779541
464,LDY,55.04280090332031,-7.161109924316406
465,BHX,52.4538993835,-1.7480299472799998
466,CVT,52.3697013855,-1.47971999645
467,\N,52.6077995300293,-1.0319399833679201
468,GLO,51.89419937133789,-2.1672201156616206
469,\N,52.51750183105469,-2.2594399452209477
470,\N,51.668095,-2.05694
471,\N,52.0407981873,-1.09555995464
472,\N,52.19219970703125,-1.6144399642944336
473,MAN,53.35369873046875,-2.2749500274658203
474,\N,53.3381,-2.14889
475,\N,51.08720016479492,-4.150340080261231
476,NQY,50.44060134887695,-4.995409965515137
477,LYE,51.5051,-1.99343
478,\N,51.152198791503906,-1.7474100589752195
479,\N,50.08610153198242,-5.2557101249694815
480,\N,51.40480041503906,-3.4357500076293945
481,YEO,51.0093994140625,-2.638819932937622
482,\N,51.83309936523438,-4.9611101150512695
483,CWL,51.39670181274414,-3.343329906463623
484,SWS,51.60530090332031,-4.0678300857543945
485,BRS,51.382702,-2.71909
486,LPL,53.33359909057617,-2.849720001220703
487,LTN,51.87469863891602,-0.36833301186561584
488,PLH,50.422798,-4.10583
489,BOH,50.77999877929688,-1.8424999713897705
490,SOU,50.95029830932617,-1.3567999601364136
491,QLA,51.18719863891602,-1.0334999561309814
492,ACI,49.70610046386719,-2.2147200107574463
493,GCI,49.43500137329102,-2.601969957351685
494,JER,49.20790100097656,-2.1955099105834956
495,ESH,50.83560180664063,-0.29722198843955994
496,BQH,51.330799102799986,0.032499998807900006
497,LGW,51.14810180664063,-0.19027799367904666
498,LCY,51.505299,0.055277999999999994
499,FAB,51.275798797600004,-0.776332974434
500,\N,51.67610168457031,-1.0808299779891968
501,BBS,51.32389831542969,-0.8475000262260437
502,LHR,51.4706,-0.461941
